model,layer,n_languages,n_concepts,dimension,family,perturbation,magnitude,preprocessing,metric,value,reference_value,expected_value,analytic_expectation,absolute_error,relative_error,tolerance,analytic_status
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,concept_participation_ratio,1.0846202694685076,1.0846202694685076,1.0846202694685076,uniform-scale invariant,0.0,0.0,1.0856202694685077e-06,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,cvp_within_ratio,0.25,1.0,0.25,quadratic preservation ratio,0.0,0.0,2.51e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,raw,cpres_shared_ratio,0.25,1.0,0.25,quadratic preservation ratio,0.0,0.0,2.51e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,lfs_direct,0.7900691089438461,0.7900691089438461,0.7900691089438461,uniform-scale invariant after coordinate standardization,0.0,0.0,7.910691089438461e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,ss_language,4407051.972452371,4407051.972452371,4407051.972452371,uniform-scale invariant after coordinate standardization,0.0,0.0,4.407051973452371,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,ss_concept,1171006.86134213,1171006.86134213,1171006.86134213,uniform-scale invariant after coordinate standardization,0.0,0.0,1.17100686234213,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,ss_residual,2409141.1662055,2409141.1662055,2409141.1662055,uniform-scale invariant after coordinate standardization,0.0,0.0,2.4091411672054996,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,language_share_total,0.5517643194676946,0.5517643194676946,0.5517643194676946,uniform-scale invariant after coordinate standardization,0.0,0.0,5.527643194676945e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,concept_share_total,0.14661043436274662,0.14661043436274662,0.14661043436274662,uniform-scale invariant after coordinate standardization,0.0,0.0,1.4761043436274662e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,residual_share_total,0.3016252461695587,0.3016252461695587,0.3016252461695587,uniform-scale invariant after coordinate standardization,0.0,0.0,3.026252461695587e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,lfs_vc_reml,0.8303748739372657,0.8303748739372657,0.8303748739372657,uniform-scale invariant after coordinate standardization,0.0,0.0,8.313748739372657e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,mexa_external,0.49638888888888894,0.49638888888888894,0.49638888888888894,uniform-scale invariant after coordinate standardization,0.0,0.0,4.973888888888889e-07,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,aar10,-0.0654386339201006,-0.0654386339201006,-0.0654386339201006,uniform-scale invariant after coordinate standardization,0.0,0.0,6.64386339201006e-08,PASS
EuroLLM-1.7B,14,13,300,2048,uniform,uniform_shrink,0.5,standardized,mean_alignment_margin,0.046379277402438523,0.046379277402438523,0.046379277402438523,uniform-scale invariant after coordinate standardization,0.0,0.0,4.7379277402438525e-08,PASS
